Host 	 Total Query 	 Success
neighborhood0 	 0 	 0 	 0.0
neighborhood1 	 0 	 0 	 0.0
neighborhood2 	 0 	 0 	 0.0
neighborhood3 	 0 	 0 	 0.0
neighborhood4 	 0 	 0 	 0.0
neighborhood5 	 0 	 0 	 0.0
neighborhood6 	 0 	 0 	 0.0
neighborhood7 	 0 	 0 	 0.0
neighborhood8 	 0 	 0 	 0.0
neighborhood9 	 0 	 0 	 0.0
house10 	 0 	 0 	 0.0
house11 	 1 	 0 	 0.0
house12 	 0 	 0 	 0.0
house13 	 0 	 0 	 0.0
house14 	 1 	 0 	 0.0
house15 	 1 	 1 	 8521.0
house16 	 0 	 0 	 0.0
house17 	 0 	 0 	 0.0
house18 	 0 	 0 	 0.0
house19 	 1 	 0 	 0.0
house20 	 1 	 0 	 0.0
house21 	 2 	 0 	 0.0
house22 	 2 	 0 	 0.0
house23 	 1 	 0 	 0.0
house24 	 3 	 1 	 3645.0
house25 	 1 	 0 	 0.0
house26 	 0 	 0 	 0.0
house27 	 3 	 0 	 0.0
house28 	 5 	 0 	 0.0
house29 	 0 	 0 	 0.0
house30 	 3 	 0 	 0.0
house31 	 0 	 0 	 0.0
house32 	 1 	 0 	 0.0
house33 	 0 	 0 	 0.0
house34 	 0 	 0 	 0.0
house35 	 1 	 0 	 0.0
house36 	 1 	 1 	 5731.0
house37 	 0 	 0 	 0.0
house38 	 3 	 0 	 0.0
house39 	 2 	 0 	 0.0
house40 	 0 	 0 	 0.0
house41 	 1 	 1 	 13311.0
house42 	 0 	 0 	 0.0
house43 	 0 	 0 	 0.0
house44 	 1 	 0 	 0.0
house45 	 0 	 0 	 0.0
house46 	 0 	 0 	 0.0
house47 	 4 	 1 	 37026.0
house48 	 2 	 1 	 1224.0
house49 	 2 	 0 	 0.0
house50 	 0 	 0 	 0.0
house51 	 1 	 0 	 0.0
house52 	 1 	 0 	 0.0
house53 	 0 	 0 	 0.0
house54 	 0 	 0 	 0.0
house55 	 6 	 0 	 0.0
house56 	 7 	 3 	 2588.6666666666665
house57 	 0 	 0 	 0.0
house58 	 1 	 0 	 0.0
house59 	 0 	 0 	 0.0
house60 	 1 	 1 	 2014.0
house61 	 0 	 0 	 0.0
house62 	 0 	 0 	 0.0
house63 	 3 	 0 	 0.0
house64 	 0 	 0 	 0.0
house65 	 1 	 1 	 1456.0
house66 	 1 	 0 	 0.0
house67 	 0 	 0 	 0.0
house68 	 1 	 0 	 0.0
house69 	 1 	 0 	 0.0
house70 	 1 	 0 	 0.0
house71 	 0 	 0 	 0.0
house72 	 1 	 0 	 0.0
house73 	 3 	 0 	 0.0
house74 	 0 	 0 	 0.0
house75 	 0 	 0 	 0.0
house76 	 1 	 0 	 0.0
house77 	 1 	 0 	 0.0
house78 	 3 	 0 	 0.0
house79 	 0 	 0 	 0.0
house80 	 2 	 2 	 1000.0
house81 	 3 	 0 	 0.0
house82 	 0 	 0 	 0.0
house83 	 4 	 0 	 0.0
house84 	 3 	 0 	 0.0
house85 	 7 	 1 	 9797.0
house86 	 2 	 1 	 221.0
house87 	 1 	 1 	 39057.0
house88 	 2 	 2 	 2817.5
house89 	 4 	 4 	 3596.0
house90 	 3 	 0 	 0.0
house91 	 4 	 0 	 0.0
house92 	 0 	 0 	 0.0
house93 	 3 	 0 	 0.0
house94 	 3 	 2 	 52840.0
house95 	 0 	 0 	 0.0
house96 	 1 	 0 	 0.0
house97 	 2 	 0 	 0.0
house98 	 1 	 0 	 0.0
house99 	 1 	 0 	 0.0
house100 	 1 	 0 	 0.0
house101 	 0 	 0 	 0.0
house102 	 2 	 0 	 0.0
house103 	 2 	 2 	 1116.5
house104 	 0 	 0 	 0.0
house105 	 5 	 2 	 4137.0
house106 	 0 	 0 	 0.0
house107 	 3 	 0 	 0.0
house108 	 0 	 0 	 0.0
house109 	 1 	 0 	 0.0
reliefcenter110 	 0 	 0 	 0.0
reliefcenter111 	 0 	 0 	 0.0
reliefcenter112 	 2 	 2 	 3639.5
reliefcenter113 	 1 	 0 	 0.0
reliefcenter114 	 0 	 0 	 0.0
reliefcenter115 	 0 	 0 	 0.0
reliefcenter116 	 1 	 0 	 0.0
reliefcenter117 	 0 	 0 	 0.0
reliefcenter118 	 2 	 2 	 4915.0
mainreliefcenter119 	 0 	 0 	 0.0
mainreliefcenter120 	 4 	 1 	 844.0
policestation121 	 2 	 0 	 0.0
publicworks122 	 0 	 0 	 0.0
evacuation123 	 4 	 1 	 24453.0
evacuation124 	 2 	 0 	 0.0
evacuation125 	 2 	 1 	 12283.0
evacuation126 	 0 	 0 	 0.0
evacuation127 	 2 	 0 	 0.0
medical128 	 0 	 0 	 0.0
medical129 	 0 	 0 	 0.0
supply130 	 2 	 0 	 0.0
supply131 	 0 	 0 	 0.0
supply132 	 1 	 0 	 0.0
supply133 	 1 	 0 	 0.0
supply134 	 0 	 0 	 0.0
supply135 	 6 	 0 	 0.0
supply136 	 1 	 0 	 0.0
supply137 	 1 	 1 	 133.0
supply138 	 1 	 1 	 5182.0
supply139 	 1 	 0 	 0.0
supply140 	 4 	 0 	 0.0
supply141 	 3 	 1 	 6485.0
supply142 	 0 	 0 	 0.0
supply143 	 0 	 0 	 0.0
supply144 	 4 	 0 	 0.0
supply145 	 0 	 0 	 0.0
supply146 	 4 	 1 	 35768.0
supply147 	 1 	 1 	 192.0
supply148 	 0 	 0 	 0.0
supply149 	 2 	 0 	 0.0
emergency150 	 3 	 0 	 0.0
emergency151 	 0 	 0 	 0.0
emergency152 	 4 	 0 	 0.0
emergency153 	 3 	 0 	 0.0
repairer154 	 0 	 0 	 0.0
rescue155 	 3 	 1 	 7688.0
rescue156 	 1 	 0 	 0.0
rescue157 	 1 	 0 	 0.0
rescue158 	 0 	 0 	 0.0
rescue159 	 3 	 2 	 23538.0
rescue160 	 0 	 0 	 0.0
rescue161 	 3 	 1 	 23967.0
rescue162 	 3 	 2 	 13675.0
rescue163 	 1 	 0 	 0.0
rescue164 	 1 	 0 	 0.0
rescue165 	 4 	 3 	 14384.333333333334
rescue166 	 0 	 0 	 0.0
rescue167 	 0 	 0 	 0.0
rescue168 	 0 	 0 	 0.0
rescue169 	 1 	 0 	 0.0
rescue170 	 5 	 0 	 0.0
rescue171 	 3 	 0 	 0.0
rescue172 	 0 	 0 	 0.0
rescue173 	 3 	 2 	 44797.5
rescue174 	 0 	 0 	 0.0
rescue175 	 8 	 4 	 5099.5
rescue176 	 2 	 0 	 0.0
rescue177 	 0 	 0 	 0.0
rescue178 	 0 	 0 	 0.0
rescue179 	 0 	 0 	 0.0
rescue180 	 0 	 0 	 0.0
rescue181 	 2 	 0 	 0.0
rescue182 	 0 	 0 	 0.0
rescue183 	 1 	 1 	 8295.0
rescue184 	 1 	 1 	 837.0
rescue185 	 0 	 0 	 0.0
rescue186 	 2 	 2 	 38248.5
rescue187 	 1 	 0 	 0.0
rescue188 	 2 	 2 	 22309.0
rescue189 	 0 	 0 	 0.0
rescue190 	 1 	 0 	 0.0
rescue191 	 0 	 0 	 0.0
rescue192 	 1 	 0 	 0.0
rescue193 	 0 	 0 	 0.0
rescue194 	 1 	 0 	 0.0
policepatrol195 	 0 	 0 	 0.0
policepatrol196 	 2 	 0 	 0.0
policepatrol197 	 2 	 0 	 0.0
policepatrol198 	 0 	 0 	 0.0
policepatrol199 	 0 	 0 	 0.0
people200 	 3 	 2 	 1007.5
people201 	 1 	 0 	 0.0
people202 	 1 	 0 	 0.0
people203 	 1 	 0 	 0.0
people204 	 0 	 0 	 0.0
people205 	 7 	 0 	 0.0
people206 	 4 	 0 	 0.0
people207 	 3 	 0 	 0.0
people208 	 3 	 0 	 0.0
people209 	 0 	 0 	 0.0
people210 	 0 	 0 	 0.0
people211 	 1 	 0 	 0.0
people212 	 2 	 0 	 0.0
people213 	 0 	 0 	 0.0
people214 	 2 	 0 	 0.0
people215 	 0 	 0 	 0.0
people216 	 4 	 0 	 0.0
people217 	 0 	 0 	 0.0
people218 	 3 	 0 	 0.0
people219 	 2 	 0 	 0.0
people220 	 0 	 0 	 0.0
people221 	 0 	 0 	 0.0
people222 	 1 	 0 	 0.0
people223 	 2 	 0 	 0.0
people224 	 0 	 0 	 0.0
people225 	 0 	 0 	 0.0
people226 	 0 	 0 	 0.0
people227 	 0 	 0 	 0.0
people228 	 0 	 0 	 0.0
people229 	 0 	 0 	 0.0
people230 	 0 	 0 	 0.0
people231 	 0 	 0 	 0.0
people232 	 0 	 0 	 0.0
people233 	 0 	 0 	 0.0
people234 	 0 	 0 	 0.0
people235 	 0 	 0 	 0.0
people236 	 0 	 0 	 0.0
people237 	 0 	 0 	 0.0
people238 	 0 	 0 	 0.0
people239 	 0 	 0 	 0.0
people240 	 0 	 0 	 0.0
people241 	 0 	 0 	 0.0
people242 	 0 	 0 	 0.0
people243 	 0 	 0 	 0.0
people244 	 0 	 0 	 0.0
people245 	 0 	 0 	 0.0
people246 	 0 	 0 	 0.0
people247 	 0 	 0 	 0.0
people248 	 0 	 0 	 0.0
people249 	 0 	 0 	 0.0
people250 	 0 	 0 	 0.0
people251 	 0 	 0 	 0.0
people252 	 0 	 0 	 0.0
people253 	 0 	 0 	 0.0
people254 	 0 	 0 	 0.0
people255 	 0 	 0 	 0.0
people256 	 0 	 0 	 0.0
people257 	 0 	 0 	 0.0
people258 	 0 	 0 	 0.0
people259 	 0 	 0 	 0.0
people260 	 0 	 0 	 0.0
people261 	 0 	 0 	 0.0
people262 	 0 	 0 	 0.0
people263 	 0 	 0 	 0.0
people264 	 0 	 0 	 0.0
people265 	 0 	 0 	 0.0
people266 	 0 	 0 	 0.0
people267 	 0 	 0 	 0.0
people268 	 0 	 0 	 0.0
people269 	 0 	 0 	 0.0
people270 	 0 	 0 	 0.0
people271 	 0 	 0 	 0.0
people272 	 0 	 0 	 0.0
people273 	 0 	 0 	 0.0
people274 	 0 	 0 	 0.0
275 	 299 	 63 	 1773.9618181818182 	 84600.0 	 100000000 	 3
